2023-11-09 15:23:25.815 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-11-09 15:23:26.529 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat initialized with port(s): 8085 (http)
2023-11-09 15:23:26.534 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Initializing ProtocolHandler ["http-nio-8085"]
2023-11-09 15:23:26.535 INFO  [restartedMain] [org.apache.catalina.core.StandardService] - Starting service [Tomcat]
2023-11-09 15:23:26.535 INFO  [restartedMain] [org.apache.catalina.core.StandardEngine] - Starting Servlet engine: [Apache Tomcat/9.0.82]
2023-11-09 15:23:26.571 INFO  [restartedMain] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring embedded WebApplicationContext
2023-11-09 15:23:26.571 INFO  [restartedMain] [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 755 ms
2023-11-09 15:23:26.873 INFO  [restartedMain] [o.s.s.web.DefaultSecurityFilterChain] - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@7aaefc9e, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@4863b03e, org.springframework.security.web.context.SecurityContextPersistenceFilter@21b755e9, org.springframework.security.web.header.HeaderWriterFilter@63557c8d, org.springframework.security.web.authentication.logout.LogoutFilter@4bb85462, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@673e1ff8, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@cbe657f, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@32327ef9, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@7539e201, org.springframework.security.web.session.SessionManagementFilter@3289b987, org.springframework.security.web.access.ExceptionTranslationFilter@60832be4, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@5fff1132]
2023-11-09 15:23:27.002 INFO  [restartedMain] [o.s.b.d.a.OptionalLiveReloadServer] - LiveReload server is running on port 35729
2023-11-09 15:23:27.010 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Starting ProtocolHandler ["http-nio-8085"]
2023-11-09 15:23:27.020 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat started on port(s): 8085 (http) with context path ''
2023-11-09 15:23:27.028 INFO  [restartedMain] [com.chunjae.project5.Project5Application] - Started Project5Application in 1.436 seconds (JVM running for 1.812)
2023-11-09 15:23:44.628 INFO  [http-nio-8085-exec-1] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-11-09 15:23:44.628 INFO  [http-nio-8085-exec-1] [o.s.web.servlet.DispatcherServlet] - Initializing Servlet 'dispatcherServlet'
2023-11-09 15:23:44.629 INFO  [http-nio-8085-exec-1] [o.s.web.servlet.DispatcherServlet] - Completed initialization in 1 ms
2023-11-09 15:23:44.655 INFO  [http-nio-8085-exec-1] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Starting...
2023-11-09 15:23:44.697 INFO  [http-nio-8085-exec-1] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Start completed.
2023-11-09 15:26:49.528 INFO  [SpringApplicationShutdownHook] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Shutdown initiated...
2023-11-09 15:26:49.531 INFO  [SpringApplicationShutdownHook] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Shutdown completed.
2023-11-09 15:26:52.184 INFO  [restartedMain] [com.chunjae.project5.Project5Application] - Starting Project5Application using Java 17.0.7 on FULL8-013 with PID 11980 (D:\hk\project\solo\ChunjaeSoloProject5\build\classes\java\main started by db400tea in D:\hk\project\solo\ChunjaeSoloProject5)
2023-11-09 15:26:52.185 INFO  [restartedMain] [com.chunjae.project5.Project5Application] - No active profile set, falling back to 1 default profile: "default"
2023-11-09 15:26:52.210 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-11-09 15:26:52.210 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-11-09 15:26:52.811 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat initialized with port(s): 8085 (http)
2023-11-09 15:26:52.817 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Initializing ProtocolHandler ["http-nio-8085"]
2023-11-09 15:26:52.818 INFO  [restartedMain] [org.apache.catalina.core.StandardService] - Starting service [Tomcat]
2023-11-09 15:26:52.818 INFO  [restartedMain] [org.apache.catalina.core.StandardEngine] - Starting Servlet engine: [Apache Tomcat/9.0.82]
2023-11-09 15:26:52.859 INFO  [restartedMain] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring embedded WebApplicationContext
2023-11-09 15:26:52.860 INFO  [restartedMain] [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 650 ms
2023-11-09 15:26:53.174 INFO  [restartedMain] [o.s.s.web.DefaultSecurityFilterChain] - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@1411ca40, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@7aaefc9e, org.springframework.security.web.context.SecurityContextPersistenceFilter@98bdfca, org.springframework.security.web.header.HeaderWriterFilter@6aa3357e, org.springframework.security.web.authentication.logout.LogoutFilter@1ec5393a, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@1c18db16, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@5e0d85d9, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@de4f01e, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@4863b03e, org.springframework.security.web.session.SessionManagementFilter@4b2c770d, org.springframework.security.web.access.ExceptionTranslationFilter@2960363c, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@74c80bb8]
2023-11-09 15:26:53.648 INFO  [restartedMain] [o.s.b.d.a.OptionalLiveReloadServer] - LiveReload server is running on port 35729
2023-11-09 15:26:53.658 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Starting ProtocolHandler ["http-nio-8085"]
2023-11-09 15:26:53.669 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat started on port(s): 8085 (http) with context path ''
2023-11-09 15:26:53.676 INFO  [restartedMain] [com.chunjae.project5.Project5Application] - Started Project5Application in 1.709 seconds (JVM running for 2.111)
2023-11-09 15:26:58.886 INFO  [restartedMain] [com.chunjae.project5.Project5Application] - Starting Project5Application using Java 17.0.7 on FULL8-013 with PID 11720 (D:\hk\project\solo\ChunjaeSoloProject5\build\classes\java\main started by db400tea in D:\hk\project\solo\ChunjaeSoloProject5)
2023-11-09 15:26:58.887 INFO  [restartedMain] [com.chunjae.project5.Project5Application] - No active profile set, falling back to 1 default profile: "default"
